country,description,year_1960,year_1970,year_1980,year_1990,year_2000,year_2010,year_2020
Greece,GDP,4335186017,13139863636,56829664269,97891092003,130134000000,296835000000,189410000000
Greenland,GDP,NA,69520027,476055288,1018970365,1068030830,2503156061,NA
Grenada,GDP,NA,NA,110900457,278098763,520044370,771013259,1089203704
Guam,GDP,NA,NA,NA,NA,NA,4949000000,NA
Guatemala,GDP,1043599900,1904000000,7878700000,7650125217,19288827159,40676432029,77604632171
Guinea,GDP,NA,NA,NA,2666750686,2995361141,6853467858,15681050917
Guinea-Bissau,GDP,NA,78733595,110653831,243961996,371095510,849878424,1431758243
Guyana,GDP,170215248,267800000,603200000,396582263,712667897,3432913353,5471256595
Haiti,GDP,273187200,331200000,1383800000,3096289800,6868666120,11661585823,13417997065
Honduras,GDP,335650000,723000000,3968160046,4923009552,7186650135,15839344592,23827840810
Hong Kong, China,GDP,1320796652,3800766536,28861759209,76928290842,171668000000,228638000000,346586000000
Hungary,GDP,NA,NA,NA,NA,47218405892,131917000000,155013000000
Iceland,GDP,248434097,526704546,3381419043,6468736287,9025660362,13751161918,21714670570
India,GDP,37029883875,62422483055,186325000000,320979000000,468395000000,1675620000000,2622980000000
Indonesia,GDP,NA,9150684932,72482337370,106141000000,165021000000,755094000000,1058420000000
Iran, Islamic Rep.,GDP,4199134390,10976245154,94362275580,124813000000,109592000000,486808000000,191718000000
Iraq,GDP,NA,3281713806,52569000000,180408000000,48364250944,138517000000,167224000000
Ireland,GDP,1939329775,4396684937,21751265577,49313360688,99871239174,222071000000,418622000000
Isle of Man,GDP,NA,NA,NA,NA,1563667800,5920177689,NA
Israel,GDP,2598500000,NA,NA,NA,132705000000,234000000000,401954000000
Italy,GDP,40385288344,113395000000,477257000000,1181220000000,1143830000000,2134020000000,1886450000000
Jamaica,GDP,699050679,1404776071,2679409453,4592224067,9005064475,13220556883,13812421803
Japan,GDP,44307342950,212609000000,1105390000000,3132820000000,4887520000000,5700100000000,NA
Jordan,GDP,NA,639596752,3910036925,4160003917,8460424401,27133804225,43697659275
Kazakhstan,GDP,NA,NA,NA,26932729103,18291994909,148047000000,169835000000
Kenya,GDP,791265459,1603447357,7265315332,8572359163,12705357103,40000088347,98842939649
Kiribati,GDP,NA,14295280,38715555,39809539,67254174,156120895,199573326
Korea, Dem. People's Rep.,GDP,NA,NA,NA,NA,NA,NA,NA
Reoublic of Korea,GDP,3958190759,9005023184,65398646758,283368000000,576178000000,1144070000000,1630530000000
Kosovo,GDP,NA,NA,NA,NA,1849196082,5835874321,7611402165
Kuwait,GDP,NA,2873984878,28638550499,18427777778,37712842243,115419000000,NA
Kyrgyzstan,GDP,NA,NA,NA,2675000000,1369688498,4794357795,7735976613
Lao PDR,GDP,NA,NA,NA,865559856,1731198022,7127792630,19136194849
Latvia,GDP,NA,NA,NA,NA,7949253766,23869752327,33505185229
Lebanon,GDP,NA,NA,NA,2838485354,17260364842,38443907042,33383246858
